first_schema;e1;e2;score
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/gourmand__food_meat;http://data.odeuropa.eu/vocabulary/flavornet/odors/edible_oil_meat;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/radical__root_orris_root;http://data.odeuropa.eu/vocabulary/flavornet/odors/edible_oil_orris;0.780621931285197
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/gourmand__food_wine;http://data.odeuropa.eu/vocabulary/flavornet/odors/edible_oil_wine;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/sour__acidic_fermented_blood;http://data.odeuropa.eu/vocabulary/flavornet/odors/fermented;0.7806583297569639
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/metallic_metals;http://data.odeuropa.eu/vocabulary/flavornet/odors/fermented_metal;0.8332626837334284
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/fishy;http://data.odeuropa.eu/vocabulary/flavornet/odors/fishy;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/fishy_fish;http://data.odeuropa.eu/vocabulary/flavornet/odors/fishy_fish;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/fruity_apple;http://data.odeuropa.eu/vocabulary/flavornet/odors/floral_apple;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/floral_tulip;http://data.odeuropa.eu/vocabulary/flavornet/odors/floral_hyacinth;0.739920692827444
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/floral_jasmin;http://data.odeuropa.eu/vocabulary/flavornet/odors/floral_jasmine;0.8930636622165571
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/floral_madonna_lily;http://data.odeuropa.eu/vocabulary/flavornet/odors/floral_lily;0.7215259508623787
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/floral_rose;http://data.odeuropa.eu/vocabulary/flavornet/odors/floral_rose;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/empyreumatic__smoky_tobacco;http://data.odeuropa.eu/vocabulary/flavornet/odors/floral_tobacco;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/fruity;http://data.odeuropa.eu/vocabulary/flavornet/odors/fruity_sweet;0.8467902509330676
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/gourmand__food_bread;http://data.odeuropa.eu/vocabulary/flavornet/odors/grain_bread;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/earthy__mineral_earth;http://data.odeuropa.eu/vocabulary/flavornet/odors/herbs_earth;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/fresh_green_grass;http://data.odeuropa.eu/vocabulary/flavornet/odors/herbs_grass;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/empyreumatic__smoky_tea;http://data.odeuropa.eu/vocabulary/flavornet/odors/herbs_green_tea;0.7972397505923174
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/herbal_thyme;http://data.odeuropa.eu/vocabulary/flavornet/odors/herbs_thyme;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/empyreumatic__smoky_coffee;http://data.odeuropa.eu/vocabulary/flavornet/odors/maillard_coffee;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/mouldy_mildew;http://data.odeuropa.eu/vocabulary/flavornet/odors/maillard_mildew;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/chemical;http://data.odeuropa.eu/vocabulary/flavornet/odors/mineral_chemical;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/spicy_cloves;http://data.odeuropa.eu/vocabulary/flavornet/odors/seed_spices_clove;0.8332626837334283
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/spicy_cinnamon;http://data.odeuropa.eu/vocabulary/flavornet/odors/sweet_spices_cinnamon;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/spicy_nutmeg;http://data.odeuropa.eu/vocabulary/flavornet/odors/sweet_spices_nutmeg;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/gourmand__food_vegetables;http://data.odeuropa.eu/vocabulary/flavornet/odors/vegetable;0.8999575983140762
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/radical__root_carrot;http://data.odeuropa.eu/vocabulary/flavornet/odors/vegetable_carrot;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/fruity_grapes;http://data.odeuropa.eu/vocabulary/dravnieks/descriptors/1;0.7498165574068132
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/sour__acidic_acidic_acid;http://data.odeuropa.eu/vocabulary/dravnieks/descriptors/106;0.7597308553525228
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/sour__acidic_ammonia;http://data.odeuropa.eu/vocabulary/dravnieks/descriptors/108;1.0
