ID,LABEL en,LABEL,SYNONYMS,DEFINITION,BIBLIOGRAPHY,
472,Bracelet,Armband,,,,
473,Ring,Ring,,,,
474,Ashtray,Asbak,,,,
475,,,,,,
476,Wood,Hout,,,,
477,Reptile/Amphibia,Reptiel / Amfibie,,,,
478,Reptile,Reptiel,,,,
479,Amphibia,Amfibie,,,,
480,Mammal,Zoogdier,,,,
481,Smoking equipment,Rookgerij,,,,
482,Dahlia,Dahlia,,,,
483,Orange,Sinaasappel,,,,
484,Blackberry,Blauwe bes,,,,
485,Radish,Radijs,,,,
486,Matthiola,Matthiola,,,,
487,Forget-me-not,Vergeet-me-nietje,,,,
488,Snail,Slak,,,,
489,Crab,Krab,,,,
490,Ant,Mier,,,,
491,Dragonfly,Libelle,,,,
492,Necklace,Ketting,,,,
493,Earring,Oorbel,,,,
494,Cauliflower,Bloemkool,,,,
495,Avocado,Avocado,,,,
496,Milk Jug,Melkkan,,,,
497,Delphinium,Delphinium,,,,
498,Pomegranate,Granaatappel,,,,
499,Monkey,Aap,,,,
500,Rat,Rat,,,,
501,Rabbit,Konijn,,,,
502,Lion,Leeuw,,,,
503,Deer,Hert,,,,
504,Grasshopper,Sprinkhaan,,,,
505,Match,Lucifer,,,,
506,Lizard,Hagedis,,,,
507,Salad,Salade,,,,
508,Camel,Kameel,,,,
509,Mouse,Muis,,,,
510,Guinea pig,Cavia,,,,
511,Apricot,Abrikoos,,,,
512,Tiger,Tijger,,,,
513,Wolf,Wolf,,,,
514,Bear,Beer,,,,
515,Leopard,Luipaard,,,,
516,Snake,Slang,,,,
517,Pipe tamper,,,,,
518,Cocoon,Cocon,,,,
519,Rope tobacco,Touw tabak,,,,
520,Nut,noot,,,,
521,Chestnut,Walnoot,,,,
522,Barrel,Vat,,,,
523,Physalis,Fysalis,,,,
524,Frog,Kikker,,,,
525,Moth,Mot,,,,
526,Spider,Spin,,,,
527,Gooseberry,Kruisbes,,,,
528,Quince,Kweepeer,,,,
529,Rosehip,Rozenbottel,,,,
530,Snuff,Snuiftabak,,,,
531,Leaf,Blad,,,,
532,Cigar butt,Sigaarpeuk,,,,
533,Body,Lichaam,,,,
